iter	RMSE
0	2.038931332
1	2.001664462
2	1.952882165
3	1.877434548
4	1.815140249
5	1.76317387
6	1.724818025
7	1.668788506
8	1.635674286
9	1.593642029
10	1.545794304
11	1.513879488
12	1.462213752
13	1.4250427
14	1.384868973
15	1.357207318
16	1.328818456
17	1.300345584
18	1.271957719
19	1.233079067
20	1.193187453
21	1.160873658
22	1.128875596
23	1.112194928
24	1.079350004
25	1.056755942
26	1.032792427
27	1.000008877
28	0.9688799469
29	0.9429913381
30	0.9288113974
31	0.9144118336
32	0.889809412
33	0.87319966
34	0.8611378266
35	0.8332767849
36	0.8126687233
37	0.799288386
38	0.7904591807
39	0.7700214467
40	0.754594852
41	0.7426014108
42	0.7322243961
43	0.7212951803
44	0.7039784828
45	0.6901210663
46	0.677266076
47	0.6578226384
48	0.6421198675
49	0.621241217
50	0.6036803284
51	0.5939376887
52	0.5744615223
53	0.5580788948
54	0.5400484418
55	0.5225477827
56	0.510820997
57	0.4946931896
58	0.4794270506
59	0.4677975226
60	0.4535881282
61	0.4432666066
62	0.4299310369
63	0.4172204062
64	0.4057839512
65	0.3962041426
66	0.3848248734
67	0.3734161957
68	0.3626229237
69	0.3546071186
70	0.3446726669
71	0.3349128372
72	0.3241199513
73	0.316514426
74	0.3090937189
75	0.3015898195
76	0.2940706176
77	0.2844103721
78	0.2779295107
79	0.2684089145
80	0.2622507472
81	0.2560102992
82	0.250000192
83	0.2441532369
84	0.2390397231
85	0.2337981871
86	0.228503616
87	0.223626647
88	0.2166875533
89	0.2099835214
90	0.2050403463
91	0.2007329006
92	0.1965185608
93	0.192428586
94	0.1883236251
95	0.1845351344
96	0.1787974466
97	0.1751577033
98	0.1712484419
99	0.1677944535
100	0.1644014564
101	0.1612502741
102	0.1580386486
103	0.1547588502
104	0.1516174886
105	0.1487950003
106	0.1459651543
107	0.1432841911
108	0.1405666359
109	0.1379718362
110	0.1355423252
111	0.1333054474
112	0.1310288166
113	0.1287747238
114	0.1265241886
115	0.1243635168
116	0.1207940295
117	0.1188256034
118	0.1169295872
119	0.1143408886
120	0.1126146047
121	0.1109108362
122	0.1094500872
123	0.1080615082
124	0.1064029429
125	0.1043925212
126	0.1029809858
127	0.1015804095
128	0.1003151849
129	0.09897273531
130	0.09783695651
131	0.09661145508
132	0.09550040363
133	0.09434398161
134	0.09323341876
135	0.09225314904
136	0.09091719864
137	0.08995809899
138	0.08915248382
139	0.08842449567
140	0.08758353085
141	0.08680633115
142	0.08576764349
143	0.08473842452
144	0.0838303695
145	0.08321713786
146	0.0822408077
147	0.08164659129
148	0.08115889923
149	0.0802419423
150	0.07942208964
151	0.07887248219
152	0.07833017379
153	0.07792630466
154	0.07752746208
155	0.077109053
156	0.07651496388
157	0.07591000185
158	0.07549915857
159	0.07496228923
160	0.07463170073
161	0.07443996024
162	0.07409085933
163	0.0738195217
164	0.07356016794
165	0.07324583757
166	0.07301833982
167	0.07280307543
168	0.07244424227
169	0.07208873336
170	0.071751482
171	0.07145694517
172	0.07127176664
173	0.07099073216
174	0.07083749139
175	0.07056148628
176	0.0703400039
177	0.07023026094
178	0.06998235766
179	0.06990075299
180	0.06968952233
181	0.06945768743
182	0.06924727056
183	0.06918677326
184	0.06912467189
185	0.06890427327
186	0.06880238242
187	0.06869066507
188	0.06850772848
189	0.06839944993
190	0.0683237571
191	0.06822469161
192	0.06810504421
193	0.06799097995
194	0.06794970019
195	0.06778780233
196	0.06775670245
197	0.06772474226
198	0.06764742242
199	0.067578235
200	0.06755058976
201	0.0674530123
202	0.06734464694
203	0.06731696471
204	0.06729600478
205	0.06727584924
206	0.06721237781
207	0.06711366719
208	0.06709415478
209	0.06701778344
210	0.06700266908
211	0.066929079
212	0.06685632682
213	0.06683776048
214	0.06682142451
215	0.06680833704
216	0.06673744152
217	0.06667987042
218	0.0666690377
219	0.0666223429
220	0.06661161795
221	0.06656640568
222	0.06653540464
223	0.06649357696
224	0.06644914048
225	0.06641056258
226	0.06638447796
227	0.06637860639
228	0.06634846329
229	0.0663430249
230	0.0663094546
231	0.0662818671
232	0.06627661678
233	0.06624320991
234	0.06622988457
235	0.06622493547
236	0.06621035363
237	0.06619201563
238	0.06617301547
239	0.06616075766
240	0.06614216777
241	0.06612372142
242	0.06610378191
243	0.0660868546
244	0.0660696168
245	0.06606653025
246	0.06605132964
247	0.06603889562
248	0.06602975471
249	0.06601803729
250	0.06600723487
251	0.06599521525
252	0.06598395003
253	0.06597570106
254	0.06596794587
255	0.06595803562
256	0.06594978498
257	0.06594090947
258	0.06593362374
259	0.06592826753
260	0.0659237141
261	0.06592219188
262	0.06591611876
263	0.06591196494
264	0.06590702444
265	0.06590169104
266	0.06589773598
267	0.06589392036
268	0.06588662297
269	0.06588118575
270	0.06587868051
271	0.0658746993
272	0.06586996006
273	0.06586584512
274	0.0658611338
275	0.06585611373
276	0.06585307345
277	0.06585213121
278	0.06584908384
279	0.06584560976
280	0.06584263502
281	0.06583960091
282	0.0658388737
283	0.06583837525
284	0.06583784987
285	0.06583510221
286	0.06583219068
287	0.06582963787
288	0.0658272687
289	0.06582512333
290	0.06582355013
291	0.06582040825
292	0.06581837323
293	0.06581622531
294	0.06581440297
295	0.06581267806
296	0.06581109295
297	0.06580948927
298	0.06580805427
299	0.06580649002
300	0.06580504138
301	0.06580352441
302	0.06580206329
303	0.0658007126
304	0.06580033974
305	0.06579928933
306	0.0657976014
307	0.06579627808
308	0.06579507946
309	0.06579404777
310	0.0657928149
311	0.06579144725
312	0.06579069383
313	0.0657896577
314	0.06578845399
315	0.06578773898
316	0.06578702841
317	0.06578613958
318	0.06578563734
319	0.06578496296
320	0.06578408398
321	0.065783193
322	0.06578244376
323	0.06578187874
324	0.06578100314
325	0.06578019988
326	0.06577931831
327	0.06577881699
328	0.0657782249
329	0.06577758553
330	0.06577702815
331	0.06577640447
332	0.06577598526
333	0.06577528561
334	0.06577487148
335	0.06577433117
336	0.06577393331
337	0.06577380452
338	0.06577329428
339	0.06577286323
340	0.06577236172
341	0.06577185595
342	0.06577139907
343	0.06577099884
344	0.06577056446
345	0.06577025142
346	0.06576995835
347	0.06576962155
348	0.06576936179
349	0.06576906636
350	0.06576869617
351	0.06576832556
352	0.0657680987
353	0.06576787383
354	0.06576748491
355	0.06576713963
356	0.06576689104
357	0.06576665661
358	0.06576640127
359	0.06576600396
360	0.0657656626
361	0.06576543723
362	0.06576529232
363	0.06576509655
364	0.065765003
365	0.06576483721
366	0.06576457482
367	0.06576453685
368	0.06576433812
369	0.0657641511
370	0.0657641086
371	0.06576398484
372	0.06576384945
373	0.06576372192
374	0.06576352174
375	0.06576333292
376	0.06576316459
377	0.06576299302
378	0.06576285601
379	0.06576268181
380	0.06576250191
381	0.06576239332
382	0.06576225426
383	0.06576213671
384	0.06576201004
385	0.06576189607
386	0.06576178445
387	0.06576165234
388	0.06576156846
389	0.06576142821
390	0.06576134747
391	0.06576126096
392	0.06576114477
393	0.06576104565
394	0.06576093338
395	0.06576086189
396	0.06576078661
397	0.06576069876
398	0.06576064417
399	0.06576057678
400	0.06576050114
401	0.06576042912
402	0.06576034844
403	0.06576026757
404	0.06576020341
405	0.06576011942
406	0.06576005834
407	0.0657599792
408	0.06575992062
409	0.06575987749
410	0.06575981208
411	0.06575977216
412	0.06575970601
413	0.0657596424
414	0.06575957838
415	0.06575951823
416	0.06575945395
417	0.06575940267
418	0.06575935721
419	0.06575931283
420	0.06575925804
421	0.0657592037
422	0.06575915172
423	0.06575911065
424	0.0657590645
425	0.06575903983
426	0.06575899513
427	0.06575895247
428	0.06575892015
429	0.06575887373
430	0.0657588359
431	0.06575880774
432	0.0657587787
433	0.065758751
434	0.06575871611
435	0.06575868022
436	0.06575864988
437	0.06575861549
438	0.06575859587
439	0.06575856905
440	0.06575853497
441	0.0657585107
442	0.06575847472
443	0.06575844756
444	0.0657584147
445	0.0657583989
446	0.06575837178
447	0.06575835007
448	0.06575833865
449	0.06575831577
450	0.06575829541
451	0.06575827644
452	0.0657582615
453	0.06575823827
454	0.06575821308
455	0.06575819957
456	0.0657581823
457	0.06575817204
458	0.06575816219
459	0.06575813766
460	0.06575811441
461	0.06575809371
462	0.06575807644
